# Abobaker Alsaraf - Certifications Complete Index
# All LinkedIn Certifications and Professional Courses

Certificate_Number,Certificate_Name,Issuer,Platform,Issued_Date,Expiration_Date,Credential_ID,Verification_Link,Category,Skills,PDF_Available
1,Google Digital Marketing & E-commerce Certificate,Google,Coursera,Nov 2025,,4MW597BRP8LV,https://coursera.org/verify/professional-cert/4MW597BRP8LV,Digital Marketing,Digital Marketing|Email Marketing|Social Media Marketing|Search Advertising|Shopping Campaigns|Performance Metrics|Customer Experience|Product Listings|Gmail Ads|YouTube Ads,Yes
2,Satisfaction Guaranteed: Develop Customer Loyalty Online,Google,Coursera,Nov 2025,,N39CC6B70SU6,https://www.coursera.org/account/accomplishments/verify/N39CC6B70SU6,Customer Service,Customer Loyalty|Online Customer Service|CRM Systems|Customer Engagement|Relationship Building,Yes
3,Accelerate Your Job Search with AI,Google,Coursera,Oct 2025,,T6GNTIO4FXQ1,https://www.coursera.org/account/accomplishments/records/T6GNTIO4FXQ1,AI & Automation,Artificial Intelligence|Job Search Strategy|Resume Optimization|Interview Preparation|LinkedIn Profile Optimization,Yes
4,Assess for Success: Marketing Analytics and Measurement,Google,Coursera,Oct 2025,,BZFAPGEMZKD5,https://www.coursera.org/account/accomplishments/verify/BZFAPGEMZKD5,Analytics,Marketing Analytics|Data Analysis|Performance Measurement|KPI Tracking|Data Interpretation,Yes
5,Make the Sale: Build, Launch, and Manage E-commerce Stores,Google,Coursera,Oct 2025,,V7O9JSGERN4D,https://www.coursera.org/account/accomplishments/verify/V7O9JSGERN4D,E-commerce,E-commerce Management|Store Setup|Product Management|Payment Processing|Inventory Management,Yes
6,Think Outside the Inbox: Email Marketing,Google,Coursera,Sep 2025,,1N2SYPDPNQSC,https://www.coursera.org/account/accomplishments/verify/1N2SYPDPNQSC,Email Marketing,Email Marketing|Campaign Creation|Subscriber Management|A/B Testing|Email Analytics,Yes
7,From Likes to Leads: Interact with Customers Online,Google,Coursera,Aug 2025,,640EA3587P1O,https://www.coursera.org/account/accomplishments/verify/640EA3587P1O,Social Media,Social Media Marketing|Customer Engagement|Community Management|Content Strategy|Social Listening,Yes
8,Attract and Engage Customers with Digital Marketing,Google,Coursera,Jul 2025,,095IUBKKTT04,https://www.coursera.org/account/accomplishments/verify/095IUBKKTT04,Digital Marketing,Digital Marketing Strategy|Customer Attraction|Engagement Tactics|Marketing Channels|Audience Analysis,Yes
9,Foundations of Digital Marketing and E-commerce,Google,Coursera,Jun 2025,,FVF6W2Z9AE0U,https://www.coursera.org/account/accomplishments/verify/FVF6W2Z9AE0U,Foundation Course,Digital Marketing Fundamentals|E-commerce Basics|Online Business|Marketing Strategy,Yes
10,AI for Excel Formulas,Corporate Finance Institute (CFI),CFI,Aug 2024,,112544033,http://credentials.corporatefinanceinstitute.com/7c7cfc67-e0c1-4e4c-8605-4c8384496f78,Excel & Automation,Excel|AI|Formulas|Automation|Financial Modeling,Yes
11,Introduction to Business Intelligence,Corporate Finance Institute (CFI),CFI,Jul 2024,,109485533,http://credentials.corporatefinanceinstitute.com/f5284dbb-15bd-459d-9f7d-d7ee02c823a6,Business Intelligence,Data Analysis|Business Intelligence (BI)|Data Visualization|Reporting,Yes
12,Reading Financial Statements,Corporate Finance Institute (CFI),CFI,Jul 2024,,110512511,http://credentials.corporatefinanceinstitute.com/1e81d976-bdb7-4400-a91f-718672c8d0ad,Financial Analysis,Financial Statement Analysis|Balance Sheet|Income Statement|Cash Flow Analysis,Yes
13,Statistics Fundamentals,Corporate Finance Institute (CFI),CFI,Jul 2024,,109160034,http://credentials.corporatefinanceinstitute.com/c64ab09f-112c-4d10-9a71-f887d4c86ad1,Data Analysis,Statistics|Data Analysis|Probability|Statistical Testing,Yes
14,Excel Fundamentals - Formulas for Finance,Corporate Finance Institute (CFI),CFI,May 2024,,104915079,http://credentials.corporatefinanceinstitute.com/168f0af3-adda-481a-91a2-1edb59eecdb4,Excel Skills,Excel|Financial Formulas|Excel Functions|Spreadsheet Mastery,Yes
15,Fundamentals of Data Analysis in Excel,Corporate Finance Institute (CFI),CFI,May 2024,,103437270,http://credentials.corporatefinanceinstitute.com/619b261d-fa6a-4180-8f0e-d7e267dcf19c,Data Analysis,Excel|Data Analysis|Data Visualization|Spreadsheet Analysis,Yes
16,Accounting Fundamentals,Corporate Finance Institute (CFI),CFI,Apr 2024,,101018163,http://credentials.corporatefinanceinstitute.com/6f904e9a-447e-45fa-ae19-46a321cceb59,Accounting,Accounting Principles|Financial Reporting|Journal Entries|Ledger Management,Yes
17,إنشاء حملة إعلانية متكاملة,almentor,almentor,Apr 2024,,ee45i85y6w,https://www.almentor.net/certificate/ee45i85y6w,Digital Marketing Arabic,Social Media Ads|Meta Ads|Campaign Strategy|Ad Management|Arabic Content,Yes
18,Power BI: Dashboards for Beginners,LinkedIn,LinkedIn,Dec 2022,,N/A,https://www.linkedin.com/learning/certificates/f40c9521a81f0f39e6fa668bd4aee7c6bcdfd7eb3c9ae18998ef7b9eb151960d/,Business Intelligence,Microsoft Power BI|Dashboard Design|Data Visualization|Reporting,No
19,Running a Profitable Business: Understanding Financial Ratios,LinkedIn,LinkedIn,Dec 2022,,N/A,https://www.linkedin.com/learning/certificates/1d7cb7f603af7347decb623e3ae37b9f4586435d868c1c26e7c75954bed706cb/,Business Finance,Ratio Analysis|Financial Ratios|Profitability Analysis|Financial Health,No
20,Excel: Tracking Data Easily and Efficiently,LinkedIn,LinkedIn,Apr 2022,,N/A,https://www.linkedin.com/learning/certificates/3c0733e9935b0526f93408f5af767cfa63a58fac3a391a0cc866f683a2987e31/,Excel Skills,Excel|Data Tracking|Data Management|Spreadsheet Organization,No
21,Financial Modeling and Forecasting Financial Statements,LinkedIn,LinkedIn,Apr 2022,,N/A,https://www.linkedin.com/learning/certificates/4fdde1c6c77899f80d86e980d511b2ff108d27e76ab583a66d1587bb664e7d2b/,Financial Modeling,Financial Modeling|Forecasting|Financial Statements|Budget Planning,No
22,Excel: Analyzing and Visualizing Cash Flows,LinkedIn,LinkedIn,Mar 2022,,N/A,https://www.linkedin.com/learning/certificates/6c6b45e53a1af8f26d32e570d8d904507f6fae47898f725b13084b1bce53c530/,Excel Skills,Excel|Cash Flow Analysis|Data Visualization|Financial Analysis,No
23,Financial Accounting Foundations,LinkedIn,LinkedIn,Mar 2022,,N/A,https://www.linkedin.com/learning/certificates/14239f5f4f9e8a8e39f0695c0ff309ff15d743e5b35c5583e42a7941e547ba4a/,Accounting,Financial Accounting|Accounting Principles|Journal Entries|Financial Reporting,No
24,Financial Modeling Foundations,LinkedIn,LinkedIn,Mar 2022,,N/A,https://www.linkedin.com/learning/certificates/3b40371b94bcac0f3628c00db9a2e0a97c7508b06b9a940a39862bbf832b8c1f/,Financial Modeling,Financial Modeling|Forecasting|Financial Analysis|Budget Preparation,No
25,Strategic Planning Foundations,LinkedIn,LinkedIn,Mar 2022,N/A,AfhWL27nmQvSKFw4PhyHUOf4zDAV,https://www.linkedin.com/learning/certificates/faac25d73249f2d736a722cafa8bbe4c4fefe33a4c630c17e30404f1ae1c64b5/,Strategic Planning,Strategic Planning|Strategy Development|Business Planning|Vision & Mission,Yes
26,AI for Startups,Udemy,Udemy,Aug 2025,Nov 2025,UC-d92ee313-bd94-48ab-b397-83efb1ee43e9,https://www.udemy.com/certificate/UC-d92ee313-bd94-48ab-b397-83efb1ee43e9/,AI & Startups,Artificial Intelligence (AI)|Startup Strategy|AI Applications|Business Growth|Innovation,Yes
